PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
6184,56267,794,002128.59+150223.7,5.369161440429991,15.039943790663123,2.086,17.964862823486328,2,0,Blazar
4508,55600,686,082247.60+120146.8,125.69835891327132,12.029674379395924,2.199,19.331859588623047,2,0,Blazar
5316,55955,434,093707.06+102149.1,144.27944217143215,10.363660388002435,2.3127403259277344,19.486351013183594,2,0,Blazar
6441,56364,742,111316.06+305526.3,168.31695116381837,30.923981209345243,2.375,19.06928825378418,2,0,Blazar
5436,56015,124,133907.13+131039.6,204.7797428570471,13.177684574686591,2.245,18.81468391418457,2,0,Blazar
5170,56063,82,142609.33+385736.4,216.53889220627286,38.96012358462909,2.218,19.06708335876465,2,0,Blazar
5170,56063,976,142807.98+404902.5,217.03328390629616,40.817382827545046,2.084684133529663,19.07445526123047,2,0,Blazar
3650,55244,180,024154.42-004757.6,40.47678828206377,-0.7993484075098946,2.386,19.041162490844727,1,0,Blazar
3776,55209,438,115436.06-020938.2,178.65027252126518,-2.160638717819209,2.4,20.37689781188965,2,0,Blazar
5977,56098,174,131443.80+234826.7,198.6825239129559,23.807435217556833,2.06,16.807926177978516,0,3,Blazar
5188,55803,712,163506.76+345852.2,248.7781819159587,34.98117954600752,2.056,19.829296112060547,0,3,Blazar
5359,55953,90,110424.07+073053.1,166.10030345550112,7.5147712967653835,2.243,17.007770538330078,0,3,Blazar
6428,56279,282,110406.68+203528.6,166.02785943521434,20.59128322951423,2.1933,17.712602615356445,2,0,Blazar
