PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
3752,55236,144,075612.71+294420.6,119.05297557832436,29.73907418685614,1.978,20.334630966186523,2,0,Blue BALs
5180,55947,310,084327.57+241654.1,130.86488886278383,24.28171333747022,2.123,19.308380126953125,2,0,Blue BALs
8193,57333,162,084557.65+573955.5,131.49022422640172,57.66543609479761,2.0402865409851074,19.873050689697266,2,0,Blue BALs
5303,55980,649,091333.72+132541.3,138.39053962589077,13.428154892372946,2.144,19.223848342895508,2,0,Blue BALs
5712,56602,894,092211.82+594715.6,140.54928377757446,59.78769232644232,2.14,19.143634796142578,2,0,Blue BALs
4620,55652,278,110951.62+411319.3,167.46511605326003,41.222037772753716,2.157,19.293184280395508,2,0,Blue BALs
6421,56274,988,113601.76+231137.8,174.0073460298417,23.19384363600681,2.138,18.977319717407227,2,0,Blue BALs
6489,56329,268,132340.57+292020.4,200.91904383248988,29.339013397887,2.057,20.575151443481445,2,0,Blue BALs
6055,56102,358,140823.67+442410.0,212.0986327509606,44.40280296854517,2.005,20.377300262451172,2,0,Blue BALs
6786,56448,387,160121.18+571558.6,240.33826265004305,57.26630368111176,2.077,19.55030059814453,2,0,Blue BALs
7607,56902,162,232039.61+180504.2,350.16504547592433,18.084522204593952,2.0217039585113525,19.622848510742188,2,0,Blue BALs
1207,52672,217,082027.48+284808.8,125.114515,28.802464,2.100482,19.110267639160156,2,0,Blue BALs
3588,55184,204,004114.45-004209.8,10.310247527602002,-0.7027445847579439,2.229,20.980472564697266,2,0,Blue BALs
6253,56574,240,005139.88+280009.5,12.916205233997857,28.002639202981157,2.357,19.467187881469727,2,0,Blue BALs
4314,55855,180,012535.41+013125.7,21.3975735215933,1.5238210026832026,2.29,18.84319496154785,2,0,Blue BALs
4310,55508,276,012913.64+035656.4,22.30685581963752,3.9490013199181293,2.463,19.539602279663086,2,0,Blue BALs
4310,55508,180,013043.99+032838.0,22.6833272041049,3.477230142237134,2.143,19.978944778442383,2,0,Blue BALs
3639,55205,773,014115.32-000500.9,25.31386819989848,-0.0836061821651353,2.13,20.46516990661621,2,0,Blue BALs
3686,55268,698,080343.77+462345.9,120.93240151578352,46.39608530319614,2.456,20.549531936645508,2,0,Blue BALs
11089,58467,852,085929.85+192455.5,134.87440858412234,19.415443406566464,2.283595085144043,20.086515426635742,2,0,Blue BALs
