PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
7900,57358,336,001439.18-045138.9,3.6632734558297813,-4.860823653664647,2.126189708709717,21.20444679260254,2,1,CIV Peaker
7902,57362,396,002445.98-041201.5,6.1916065504868385,-4.200435146735838,1.95449697971344,20.535615921020508,2,1,CIV Peaker
7676,57329,991,010427.26+263127.3,16.113603398977943,26.52426346439085,2.01607084274292,20.403573989868164,2,1,CIV Peaker
7826,56931,204,024434.17-033743.1,41.14238610510746,-3.6286393333577918,2.0266690254211426,20.568593978881836,2,1,CIV Peaker
5161,55968,380,084411.38+471308.2,131.0474432097888,47.218960832076874,2.038,19.801803588867188,2,1,CIV Peaker
8831,57448,845,091906.15+394524.3,139.77564870696858,39.75676582289504,1.9439184665679932,19.945171356201172,2,1,CIV Peaker
7307,56720,348,093201.56+470935.5,143.00653935722391,47.15986938798921,2.143,20.660104751586914,2,1,CIV Peaker
8285,57048,353,093725.00+432924.2,144.35417096346026,43.49006107035885,1.9829823970794678,19.641942977905273,2,1,CIV Peaker
6687,56602,148,101851.96+530346.3,154.71650076258888,53.06287872603768,1.992,20.203691482543945,2,1,CIV Peaker
7385,56710,303,101859.31+453853.2,154.7471593348253,45.648129088703406,1.995,19.893091201782227,2,1,CIV Peaker
6452,56366,828,104059.71+295837.2,160.2488305091607,29.977006787853334,2.054,20.423328399658203,2,1,CIV Peaker
8851,57460,649,104329.56+371058.2,160.87317975019346,37.18284865589188,2.10168719291687,20.627761840820312,2,1,CIV Peaker
7393,56749,288,110248.11+453656.3,165.70048830606459,45.615647390461056,1.956,20.371795654296875,2,1,CIV Peaker
8840,57425,180,121228.14+382838.9,183.1172813456489,38.47748145060508,2.048768997192383,20.49370574951172,2,1,CIV Peaker
6055,56102,144,141249.20+440125.8,213.20503682885527,44.02385225356407,2.054,19.843347549438477,2,1,CIV Peaker
5478,56014,614,145411.76+141001.0,223.54902467012784,14.166958195358493,2.076,19.54460906982422,2,1,CIV Peaker
6063,56098,268,170212.32+400639.0,255.5513661485619,40.110854132442654,2.072,20.286624908447266,2,1,CIV Peaker
7848,56959,835,235748.98+011011.0,359.4541008543243,1.1697422298545128,2.1068570613861084,20.997028350830078,2,1,CIV Peaker
7725,58158,506,011122.36+330521.9,17.8432012338028,33.08942513397667,2.0189197063446045,20.16672706604004,2,1,CIV Peaker
8761,58430,584,011804.21+065954.6,19.517565020950656,6.998513233067938,2.040860414505005,20.62264633178711,2,1,CIV Peaker
8876,57783,910,133729.19+380758.5,204.371636207166,38.1329196871011,2.1189329624176025,20.573291778564453,2,1,CIV Peaker
8427,57846,528,140237.74+562835.3,210.65727045473494,56.476496602072615,2.0437161922454834,20.676359176635742,2,1,CIV Peaker
10751,58220,333,144921.12+344208.5,222.3380280009196,34.702384758726076,2.1483266353607178,19.832218170166016,2,1,CIV Peaker
8540,58287,106,164200.88+444418.6,250.50366696429302,44.738524033569156,1.9208554029464722,19.88469123840332,2,1,CIV Peaker
9166,58051,910,220645.50+022220.6,331.6895980834835,2.372412570100731,2.0217456817626953,20.01622772216797,2,1,CIV Peaker
7864,56979,719,001653.80+004250.1,4.224188518974756,0.7139180933342447,1.925891399383545,21.377134323120117,2,1,CIV Peaker
7915,57309,619,010427.23-035233.0,16.11348854583926,-3.875855250987085,2.031334400177002,20.509939193725586,2,1,CIV Peaker
8832,57445,132,093244.05+383345.0,143.18356670179912,38.56250914749966,1.9504461288452148,20.075071334838867,2,1,CIV Peaker
7291,56992,204,093657.10+502317.7,144.23793554770566,50.38825163613794,2.109098196029663,20.887319564819336,2,1,CIV Peaker
7112,56666,412,114543.81+635220.0,176.43254933425175,63.8722309510732,1.989,20.32212257385254,2,1,CIV Peaker
