PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
5151,56567,538,081547.33+555153.9,123.94721789561889,55.86498684483955,2.14,20.562381744384766,1,2,FeLoBAL
5713,56686,625,090152.04+624342.6,135.46686266500842,62.72852613468797,2.09,20.023582458496094,1,2,FeLoBAL
5304,55925,972,092221.24+084312.7,140.58853351831726,8.720218056611024,1.96,18.880111694335938,2,2,FeLoBAL
6453,56365,11,105030.54+264932.2,162.6272823419228,26.825615126375094,1.953,19.11472511291504,2,2,FeLoBAL
4653,55622,340,114356.25+362918.0,175.98441505169413,36.48833874404379,2.116,20.106979370117188,2,2,FeLoBAL
6675,56415,452,121924.99+504416.4,184.85415021625488,50.7379097804447,1.947,19.284698486328125,0,2,FeLoBAL
5444,56038,524,134528.34+173530.5,206.36808927496548,17.591809218614976,1.925,19.85759162902832,0,2,FeLoBAL
8392,57483,632,135246.37+423923.5,208.19322153311043,42.656549162725746,2.0,17.504806518554688,0,2,FeLoBAL
5451,56010,397,140259.67+145615.5,210.7486528005541,14.937644756393382,2.085,19.159330368041992,1,2,FeLoBAL
7142,56567,278,223840.36+323839.7,339.6681747580036,32.64438719109408,2.0,19.69867515563965,1,2,FeLoBAL
5048,56218,234,222713.64+110140.8,336.8068362901367,11.028007994185517,1.984,19.533666610717773,0,2,FeLoBAL
7143,56572,153,235136.63+340359.5,357.9026517886192,34.06653888437355,2.11,20.34776496887207,0,2,FeLoBAL
2266,53679,82,080202.69+140315.1,120.511242,14.054205,2.143471,19.550373077392578,0,2,FeLoBAL
1849,53846,577,154303.24+264052.3,235.763526,26.681215,1.921637,18.609628677368164,0,2,FeLoBAL
367,51997,506,172341.08+555340.5,260.921185,55.894607,2.113167,18.35631561279297,1,2,FeLoBAL
7673,57329,706,004522.05+265755.9,11.34189740015762,26.965539905616364,2.12,20.2354679107666,0,2,FeLoBAL
8754,58425,621,005936.61+065440.8,14.902550550144667,6.9113366128061955,2.003742218017578,20.495296478271484,1,2,FeLoBAL
3744,55209,428,022907.70-002909.5,37.28209526271985,-0.4859970426071277,2.145,20.242238998413086,0,2,FeLoBAL
3840,55574,666,113212.92+010441.3,173.05384760686576,1.0781527414477046,2.37,19.769948959350586,0,2,FeLoBAL
3957,55664,474,150226.60+180039.5,225.61083456491366,18.01098640545071,2.35,18.14443016052246,0,2,FeLoBAL
968,52412,561,115757.24+505442.4,179.488501,50.911799,1.889433,18.58155632019043,0,2,FeLoBAL
1188,52650,550,084702.94+050316.5,131.762286,5.054586,2.194879,19.421833038330078,2,2,FeLoBAL
2532,54589,408,162527.73+093332.8,246.365568,9.559121,2.29,19.363679885864258,1,2,FeLoBAL
8276,57067,764,074850.39+442439.0,117.20998835917862,44.41084961203051,2.19,19.78837013244629,0,2,FeLoBAL
4563,55617,144,102236.22+372241.4,155.65094878343342,37.378189093493106,1.885,18.910717010498047,0,2,FeLoBAL
4616,55617,382,113424.63+323802.4,173.60264871793748,32.63401856855653,2.452,18.50887107849121,0,2,FeLoBAL
6644,56384,516,114830.95+470025.1,177.12898350643485,47.00697853492512,2.26,20.135499954223633,2,2,FeLoBAL
7099,56666,730,113558.26+591021.6,173.9927770248197,59.17268419159968,2.177,20.964181900024414,1,2,FeLoBAL
8175,57039,844,101108.88+515553.7,152.78703447273486,51.93160841571987,2.463,18.83493995666504,0,2,FeLoBAL
6489,56329,374,132158.05+284210.0,200.49189905448287,28.70280050484133,2.336,20.432504653930664,2,2,FeLoBAL
7573,56946,118,215641.68+195643.9,329.17367289027607,19.945537968375604,2.3,20.33730697631836,0,2,FeLoBAL
