PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
7665,57328,572,000100.71+235555.2,0.2529657708865898,23.93202175881406,1.934791088104248,19.481218338012695,2,2,Flat BALs
7168,56625,80,001119.27-094107.6,2.830327274571559,-9.68545964778767,2.11,19.958951950073242,2,2,Flat BALs
7615,56977,148,003646.13+221220.7,9.192238103652812,22.20577416640508,2.0268940925598145,19.97995948791504,2,2,Flat BALs
7855,57011,14,003756.77+014042.8,9.486578721849185,1.6785829151032408,2.113964319229126,20.200164794921875,2,2,Flat BALs
7618,56898,551,004033.06+183554.3,10.137768356094284,18.598430853463928,1.943,19.768156051635742,2,2,Flat BALs
7673,57329,978,005023.37+260859.1,12.597401034980749,26.149756933299006,2.01,19.858003616333008,2,2,Flat BALs
7677,57363,336,010145.04+270658.7,15.437669253930494,27.11631944679187,2.0290615558624268,20.90684700012207,2,2,Flat BALs
7620,56904,32,010214.81+214926.4,15.561732944920038,21.824007277167816,1.97,19.279956817626953,2,2,Flat BALs
4664,56192,794,011144.06+140401.6,17.933609938483954,14.067122893815919,1.999,19.870990753173828,2,2,Flat BALs
11561,58485,484,000228.71+103732.8,0.6196472799548474,10.62578795019505,1.9522712230682373,20.697053909301758,2,2,Flat BALs
7914,57331,177,011847.64-044715.4,19.698500063899175,-4.787625006346875,1.999669075012207,20.17637062072754,2,2,Flat BALs
4274,55508,382,013512.57+033638.8,23.802406121148806,3.6107967292058545,2.162,19.852148056030273,2,2,Flat BALs
7687,57007,163,013720.37+224709.8,24.33488493421362,22.786081882750654,2.035517930984497,20.03689193725586,2,2,Flat BALs
7842,56899,259,013933.54+012129.7,24.88977289148346,1.3582518291613963,2.08,19.205341339111328,2,2,Flat BALs
4532,55559,930,015035.94+083512.4,27.649775203474178,8.586795485822515,1.995,20.400278091430664,2,2,Flat BALs
8736,57400,344,020227.83+033840.0,30.61598860502704,3.644455175825481,2.0913589000701904,19.75319480895996,2,2,Flat BALs
4235,55451,796,020942.39+005147.6,32.42665830824109,0.863245832554406,1.975,19.984542846679688,2,2,Flat BALs
7880,57336,976,024407.53-041459.4,41.03141516380367,-4.249845544378107,1.9334323406219482,19.63401985168457,2,2,Flat BALs
7819,57280,750,025231.80+025039.7,43.132514474301274,2.8443816331763734,2.1199660301208496,20.341733932495117,2,2,Flat BALs
8291,57391,317,075356.72+403721.5,118.48634889180434,40.62264777250108,1.960394024848938,19.96257781982422,2,2,Flat BALs
6377,56245,119,080516.90+440713.6,121.32041685970222,44.12046150140775,2.105,20.210853576660156,2,2,Flat BALs
3805,55269,454,081114.71+382039.5,122.81133048584222,38.34430565793048,2.161,19.264720916748047,2,2,Flat BALs
3687,55269,984,081722.33+482401.3,124.3430509741023,48.400369074574456,1.98,19.799142837524414,2,2,Flat BALs
5496,55888,356,082022.57+084628.9,125.0940827019134,8.774714668303533,1.967,20.05984115600586,2,2,Flat BALs
4496,55544,306,082850.93+153918.5,127.21220832715896,15.65516498751424,1.978,19.540874481201172,2,2,Flat BALs
5156,55925,602,082934.02+543909.8,127.3917663087579,54.65274073313486,1.985,20.153593063354492,2,2,Flat BALs
7293,56741,382,083958.11+514916.5,129.99215302217766,51.82127329849799,1.921,19.58256721496582,2,2,Flat BALs
3812,55513,496,084524.10-000915.4,131.3504465162953,-0.1543018082347064,2.02,18.84347915649414,2,2,Flat BALs
3822,55544,838,091721.36+015448.1,139.33901397219884,1.9133709007275859,2.158,19.9504337310791,2,2,Flat BALs
7296,57046,218,091803.77+500922.1,139.51574787014536,50.15614070795803,1.969,19.26788330078125,2,2,Flat BALs
5307,55998,232,092130.23+161042.9,140.37597520986444,16.178602035162804,1.925,18.709253311157227,2,2,Flat BALs
5767,56245,892,092853.50+194548.7,142.222947034796,19.763543882037073,2.06,20.035125732421875,2,2,Flat BALs
5806,56310,476,093732.46+313934.1,144.3852556086864,31.659480056444362,2.13,19.088350296020508,2,2,Flat BALs
6468,56311,110,100554.68+312227.4,151.47785568337684,31.37428465112811,2.011,17.54973030090332,2,2,Flat BALs
8287,57401,860,100824.46+443448.7,152.10194609959714,44.58021160722209,2.099513292312622,20.39168357849121,2,2,Flat BALs
8302,57389,886,101445.08+421606.3,153.68784401326755,42.26844116663449,1.92348313331604,19.055604934692383,2,2,Flat BALs
7381,56717,792,101725.87+492241.8,154.35780661218826,49.37829022185694,2.01,20.528348922729492,2,2,Flat BALs
6457,56330,346,103220.14+263520.9,158.08391727734514,26.589164560448346,2.069,19.90423011779785,2,2,Flat BALs
3785,55273,936,103421.03-015654.8,158.5876539010725,-1.948575608484016,1.954,20.463001251220703,2,2,Flat BALs
3833,55290,862,103859.70+011305.1,159.74876817447097,1.2180995288816676,2.076,20.43818473815918,2,2,Flat BALs
6417,56308,901,105155.98+253930.4,162.98328148049603,25.658464773758777,1.923,19.68773078918457,2,2,Flat BALs
8166,57130,36,105804.59+520615.5,164.51916468633465,52.10432244123416,1.95,19.815380096435547,2,2,Flat BALs
6441,56364,302,111228.80+292308.5,168.12003716605588,29.38571790958268,2.123,20.1330509185791,2,2,Flat BALs
6420,56304,187,112034.74+225921.4,170.14477809167946,22.989301101531083,2.025,20.174013137817383,2,2,Flat BALs
6646,56389,53,114021.08+434113.8,175.08784338417524,43.68717661463045,1.944,20.236783981323242,2,2,Flat BALs
7112,56666,506,114037.54+645625.5,175.156428389324,64.9404227841774,2.161,20.373472213745117,2,2,Flat BALs
8229,57430,501,115312.81+553127.7,178.3034116824214,55.52436762687006,2.0,19.799331665039062,2,2,Flat BALs
6407,56311,805,115759.83+210131.3,179.49929213492987,21.025372819148632,2.015,20.12091636657715,2,2,Flat BALs
5391,56000,766,120931.27+105202.4,182.3803190115404,10.86733388955103,2.124,20.05729866027832,2,2,Flat BALs
6633,56369,40,122504.26+415403.7,186.26777226670973,41.90105441191192,2.14,20.03558349609375,2,2,Flat BALs
5404,56013,831,123432.19+164015.8,188.63414469613974,16.671073289200493,1.981,19.648988723754883,2,2,Flat BALs
5406,55955,840,123807.98+104716.1,189.53326993975486,10.787814093445375,2.099,19.26840591430664,2,2,Flat BALs
8836,57424,799,124417.66+400721.5,191.07358821658778,40.12264187712991,2.001537561416626,19.81121253967285,2,2,Flat BALs
5408,56038,946,124628.49+165522.3,191.61872971397491,16.92288130762456,2.05,19.694364547729492,2,2,Flat BALs
6485,56342,770,125303.75+323528.1,193.26563186904195,32.59114108106392,1.974,20.10744285583496,2,2,Flat BALs
5419,55983,566,125900.56+121732.5,194.75236666873886,12.292383106886415,2.16,20.208694458007812,2,2,Flat BALs
3977,55335,42,130828.07+340639.3,197.11699280595386,34.11093431066931,1.955,19.647186279296875,2,2,Flat BALs
8199,57428,477,134401.82+583023.3,206.00760644649455,58.50649643273464,1.9634476900100708,19.525798797607422,2,2,Flat BALs
8199,57428,350,134912.04+581658.1,207.3001977800054,58.28282333815574,2.020007848739624,19.961416244506836,2,2,Flat BALs
6749,56370,800,134943.32+472516.1,207.43053445040928,47.42116441692168,2.129,20.526691436767578,2,2,Flat BALs
5442,55978,776,135003.21+085013.6,207.51338059441497,8.837118464466489,2.088,19.244068145751953,2,2,Flat BALs
4033,55332,217,140632.29+011547.8,211.63456042246796,1.2632918509230413,2.076,19.950708389282227,2,2,Flat BALs
5461,56018,83,142641.55+140603.2,216.67313420944885,14.100914625416166,1.952,20.194292068481445,2,2,Flat BALs
4025,55350,832,143627.79+004655.7,219.11581112529825,0.7821483355960258,2.158,20.687929153442383,2,2,Flat BALs
6806,56419,577,143910.15+585307.1,219.79229643820761,58.8853318184199,1.94,20.269737243652344,2,2,Flat BALs
4978,56036,700,152437.66+363816.5,231.15692801697617,36.63794214094192,2.137,19.68860626220703,2,2,Flat BALs
6050,56089,506,153257.67+422047.1,233.2403265461535,42.34642845180653,1.949,19.157737731933594,2,2,Flat BALs
3927,55333,718,154639.24+160539.8,236.66351773283674,16.094402778984527,1.992,19.699485778808594,2,2,Flat BALs
6051,56093,370,154758.44+403356.5,236.99352119425942,40.56571260127255,2.025,18.79245376586914,2,2,Flat BALs
4966,55712,703,155226.67+335556.2,238.11114967336673,33.93228750777578,2.105,20.607311248779297,2,2,Flat BALs
6730,56425,182,155502.25+471645.1,238.7594104560472,47.27920929972998,2.121,20.034727096557617,2,2,Flat BALs
5192,56066,966,160302.60+392857.0,240.76086097738,39.482508238328926,2.145,19.334367752075195,2,2,Flat BALs
8068,57185,710,160918.83+593923.3,242.3284865480502,59.65649440443479,2.0970466136932373,19.95067596435547,2,2,Flat BALs
4070,55681,114,161645.01+130619.4,244.18754553121724,13.10539866130966,2.025,20.120601654052734,2,2,Flat BALs
6317,56448,442,162354.54+482610.8,245.97725660821982,48.43634722697995,2.079,20.15789794921875,2,2,Flat BALs
4060,55359,806,162502.79+192808.2,246.26166020849428,19.468966003238066,2.116,19.77616310119629,2,2,Flat BALs
7583,56958,526,221624.11+230323.4,334.1004740639478,23.05652655846696,2.06,19.14008331298828,2,2,Flat BALs
7578,56956,241,221843.16+183245.7,334.6798487366295,18.546051742530196,1.982,20.166994094848633,2,2,Flat BALs
6293,56561,332,225617.54+281009.0,344.073089001129,28.169184065809574,2.039,18.99912452697754,2,2,Flat BALs
7606,56977,392,231949.58+203644.8,349.9566246245164,20.612462976663778,2.0714590549468994,19.73917579650879,2,2,Flat BALs
6502,56544,596,232122.95+320141.1,350.3456269760285,32.02809845143991,2.086,21.186145782470703,2,2,Flat BALs
4283,55864,642,232933.73+042202.5,352.3905526375994,4.3673640893482535,2.05,20.251441955566406,2,2,Flat BALs
6150,56187,380,234146.20+115707.7,355.4425403020793,11.952153757968695,2.114,20.35137176513672,2,2,Flat BALs
7599,56955,479,234417.56+182813.8,356.07317379641904,18.47051934970501,2.1152806282043457,20.35107421875,2,2,Flat BALs
4279,55508,464,234428.13+032809.9,356.11724032433443,3.4694217480419014,2.01,20.359663009643555,2,2,Flat BALs
7851,56932,686,235048.69-011556.4,357.70288809144085,-1.2656868533405061,2.1544711589813232,20.068252563476562,2,2,Flat BALs
7666,57339,657,235550.56+253114.2,358.9606768113478,25.52063066464239,2.145595073699951,20.776403427124023,2,2,Flat BALs
11313,58426,234,002723.94+064817.5,6.849767661018518,6.8048790761725595,2.0408682823181152,18.75840187072754,2,2,Flat BALs
11313,58426,820,002844.82+070908.2,7.186784768599011,7.152298916265792,1.97623610496521,19.47850227355957,2,2,Flat BALs
