PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
5207,56018,746,160708.19+093832.6,241.78414740846804,9.642397638914195,2.08,18.878108978271484,0,1,Plateau Shaped
7745,58077,985,001858.74+314708.1,4.744787321836668,31.78558553636841,2.0409226417541504,18.94951629638672,0,1,Plateau Shaped
11303,58428,850,230430.53+033140.6,346.12723956386753,3.527966677864191,2.02608585357666,18.84663963317871,0,1,Plateau Shaped
757,52238,277,075551.44+352549.7,118.964373,35.430491,2.07046,-9999.0,0,1,Plateau Shaped
7678,57282,598,010013.15+241123.2,15.054823121748655,24.18980098888738,2.250701665878296,18.974382400512695,0,1,Plateau Shaped
7915,57309,723,010643.23-031536.4,16.680131784733035,-3.260138479618241,2.242,17.6578426361084,0,1,Plateau Shaped
11086,58401,856,073113.97+265541.8,112.80822733939624,26.928280530383258,1.8922263383865356,19.43618392944336,0,1,Plateau Shaped
934,52672,636,085344.17+354104.5,133.434048,35.684592,2.190162,18.02649688720703,0,1,Plateau Shaped
1887,53239,345,233212.67+463354.7,353.05281,46.565218,2.292328,18.53070068359375,0,1,Plateau Shaped
6674,56416,926,124331.66+520335.1,190.88192681992717,52.05976311088745,2.173,18.543834686279297,0,1,Plateau Shaped
6746,56386,120,141336.47+491021.4,213.40199449512744,49.172634464262075,2.248,18.95297622680664,0,1,Plateau Shaped
6048,56072,80,151825.66+431514.8,229.60694172107713,43.25412107399984,2.375,18.62582778930664,0,1,Plateau Shaped
6050,56089,844,154200.91+422357.8,235.50381932325723,42.3994129323307,2.244,18.922264099121094,0,1,Plateau Shaped
6303,56539,522,231153.20+255552.7,347.97168846903077,25.9313163397759,2.19,18.60508155822754,0,1,Plateau Shaped
7859,57282,576,010642.24+021127.7,16.67601566647602,2.191047134571429,2.1436657905578613,18.828874588012695,0,3,Plateau Shaped
7243,56629,662,014046.76+222318.3,25.194847808772693,22.388418425465773,2.111,20.135456085205078,0,3,Plateau Shaped
7325,56717,232,082837.36+454411.7,127.15567925749556,45.73660533101505,2.019,19.067052841186523,0,3,Plateau Shaped
5163,55889,654,083923.68+453920.2,129.8486702308637,45.65562695737786,2.152,18.913835525512695,0,3,Plateau Shaped
8858,57450,49,084024.76+361613.9,130.10319262407126,36.27053681357521,2.015,19.695409774780273,0,3,Plateau Shaped
5722,56008,594,095021.82+635601.6,147.59092545256863,63.93379924573113,1.985,18.38025665283203,0,3,Plateau Shaped
6693,56384,496,105555.75+473801.6,163.98229472845563,47.63380314697713,1.95,17.4744930267334,0,3,Plateau Shaped
3966,55571,184,122855.90+341436.9,187.23294183525283,34.24359627733228,2.132,17.72019386291504,0,3,Plateau Shaped
6970,56444,67,125758.84+623834.2,194.4951683625415,62.64285850366046,2.16,18.674623489379883,0,3,Plateau Shaped
