PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
5738,56002,656,094733.57+511453.5,146.88990672726035,51.24819587688668,1.933,19.229019165039062,0,1,Moderate Red
5897,56042,572,142213.71+193906.0,215.55714099218443,19.651676522103532,2.018,18.57408332824707,0,1,Moderate Red
11040,58456,142,004710.48+163106.5,11.793674131104638,16.51848701608449,2.165292739868164,18.60984230041504,0,1,Moderate Red
8878,57785,566,135140.51+363253.7,207.91880460204854,36.54826734935446,2.1026785373687744,19.60170555114746,0,1,Moderate Red
488,51914,214,101339.76+630501.3,153.415672,63.083715,1.927963,18.623119354248047,0,1,Moderate Red
7682,57415,136,012303.81+250448.1,20.765904398987118,25.080035920007074,2.2555758953094482,19.041372299194336,0,1,Moderate Red
7836,57278,886,020114.29+022333.2,30.309546231838567,2.392581048881175,2.264,19.075950622558594,0,1,Moderate Red
5025,55836,186,223724.45+184407.3,339.3519079494012,18.735373931658994,2.255,18.33596420288086,0,1,Moderate Red
4800,55674,928,100608.37+045717.9,151.53491338217282,4.954988459266582,2.248,18.267457962036133,0,1,Moderate Red
4759,55649,648,133017.54+044646.4,202.57311624466308,4.779573038100076,2.197,18.818178176879883,0,1,Moderate Red
4174,55659,676,170650.86+225745.3,256.71192287891904,22.962610944000044,2.284,19.05091094970703,0,1,Moderate Red
4779,55656,554,143752.75+042854.5,219.46982368095286,4.481817136875937,1.92,17.272485733032227,0,1,Moderate Red
6012,56101,444,141617.38+264906.1,214.07242476256096,26.818375652781384,2.299,18.47066879272461,0,1,Moderate Red
6628,56366,729,134339.05+450747.1,205.91274084941455,45.129758613584904,2.312,19.905311584472656,0,1,Moderate Red
4185,55469,700,164728.68+263415.2,251.86952619349842,26.570890490211173,2.312,18.952484130859375,0,1,Moderate Red
5177,56245,334,084908.92+204053.3,132.28720667726523,20.68148098964302,2.089,19.41663932800293,0,3,Moderate Red
5738,56002,656,094733.57+511453.5,146.88990672726035,51.24819587688668,1.933,19.229019165039062,0,3,Moderate Red
7385,56710,891,102308.17+464817.9,155.78406469235878,46.80499384264738,2.035,19.857751846313477,0,3,Moderate Red
5436,56015,738,133646.87+144334.2,204.19530116753089,14.726172981207483,2.149,19.151918411254883,0,3,Moderate Red
5897,56042,572,142213.71+193906.0,215.55714099218443,19.651676522103532,2.018,18.57408332824707,0,3,Moderate Red
3963,55659,872,152906.07+292835.9,232.2753315729285,29.47664629298407,2.071,20.147205352783203,0,3,Moderate Red
7599,56955,752,234817.55+193345.8,357.07316035627366,19.562734755448908,2.1539881229400635,18.764921188354492,0,3,Moderate Red
11040,58456,142,004710.48+163106.5,11.793674131104638,16.51848701608449,2.165292739868164,18.60984230041504,0,3,Moderate Red
8758,58139,174,013203.71+044619.9,23.01547452933312,4.772218120476653,1.9462565183639526,18.32541847229004,0,3,Moderate Red
8061,58253,630,162833.27+544917.4,247.1386567864393,54.821519320741054,2.0594022274017334,19.65804672241211,0,3,Moderate Red
10911,58256,526,163435.51+351803.3,248.64798152062514,35.300935257306044,2.1109323501586914,19.9012393951416,0,3,Moderate Red
11340,58433,548,222510.79+063919.7,336.29496937753413,6.65547564453842,2.002908706665039,20.169626235961914,0,3,Moderate Red
11303,58428,850,230430.53+033140.6,346.12723956386753,3.527966677864191,2.02608585357666,18.84663963317871,0,3,Moderate Red
7895,57659,292,235711.72-045205.2,359.2988507021243,-4.868122809517239,1.931705355644226,19.007976531982422,0,3,Moderate Red
488,51914,214,101339.76+630501.3,153.415672,63.083715,1.927963,18.623119354248047,0,3,Moderate Red
7682,57415,136,012303.81+250448.1,20.765904398987118,25.080035920007074,2.2555758953094482,19.041372299194336,0,3,Moderate Red
3810,56015,842,084538.03+023413.5,131.40849804108757,2.5704403600421393,2.19,19.13135528564453,0,3,Moderate Red
8738,57402,408,015103.80+031915.5,27.765848066065757,3.320994699992035,2.2327747344970703,19.129695892333984,0,3,Moderate Red
7836,57278,886,020114.29+022333.2,30.309546231838567,2.392581048881175,2.264,19.075950622558594,0,3,Moderate Red
5025,55836,186,223724.45+184407.3,339.3519079494012,18.735373931658994,2.255,18.33596420288086,0,3,Moderate Red
5049,56103,148,223905.46+112223.8,339.77278018544496,11.373286976093056,2.459,19.138460159301758,0,3,Moderate Red
5783,56017,310,094456.43+184331.7,146.23513229090557,18.72548863435902,2.319,19.694551467895508,0,3,Moderate Red
4800,55674,928,100608.37+045717.9,151.53491338217282,4.954988459266582,2.248,18.267457962036133,0,3,Moderate Red
5377,55957,558,113546.78+082331.9,173.9449344434699,8.392218554797397,1.913,18.88204002380371,0,3,Moderate Red
7572,56944,17,220636.90+174803.1,331.6537720241913,17.800872671858794,2.302,20.198354721069336,0,3,Moderate Red
4759,55649,648,133017.54+044646.4,202.57311624466308,4.779573038100076,2.197,18.818178176879883,0,3,Moderate Red
