PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
7594,56947,62,001259.56+184326.8,3.2481862043102865,18.724119734788175,2.045562267303467,19.24892234802246,0,2,Red BALs
6183,56210,850,001738.19+124301.5,4.409127973809859,12.71710932742584,2.11,20.437381744384766,1,2,Red BALs
6186,56246,776,002931.44+181836.5,7.381032765671364,18.310162930944458,2.092,20.435659408569336,0,2,Red BALs
7685,57062,730,013059.96+260501.7,22.749861629604936,26.083807334316315,2.0020992755889893,20.490337371826172,0,2,Red BALs
6386,56325,865,073734.88+464158.2,114.39535676731211,46.69951559193597,1.962,20.370582580566406,0,2,Red BALs
3674,55182,900,075437.85+422115.2,118.65772095243861,42.35424448676306,1.965,20.187719345092773,0,2,Red BALs
7275,57093,681,090937.66+553125.2,137.4069215277362,55.52368400754749,2.037061929702759,20.182178497314453,1,2,Red BALs
8297,57416,880,091239.42+422229.5,138.1642508287395,42.37486853846202,1.9219540357589722,20.029315948486328,0,2,Red BALs
3822,55544,838,091721.36+015448.1,139.33901397219884,1.9133709007275859,2.158,19.9504337310791,2,2,Red BALs
5729,56598,71,091836.30+523711.0,139.65128295978866,52.61974045692177,1.923,19.903539657592773,0,2,Red BALs
7086,56658,810,101854.28+574823.5,154.72618680718338,57.80653943724407,2.001,20.482894897460938,1,2,Red BALs
6425,56298,764,103329.93+234124.9,158.37472257609187,23.69027723932134,2.131,20.166807174682617,0,2,Red BALs
6657,56366,276,104029.87+460900.5,160.12448225013713,46.15015545237297,2.145,20.342304229736328,2,2,Red BALs
5364,56000,649,110756.23+122151.3,166.98430525362755,12.36426193644034,2.037,19.863433837890625,2,2,Red BALs
7091,56658,506,114714.24+584311.8,176.8093515838627,58.71996479289604,1.938,19.986034393310547,1,2,Red BALs
6972,56426,600,120521.32+620448.2,181.3388528584747,62.08006034478631,2.108,19.469789505004883,1,2,Red BALs
7419,56811,190,123843.19+465120.4,189.679964704976,46.85568329663864,1.99,20.120317459106445,1,2,Red BALs
6674,56416,187,124010.40+512545.1,190.04335507676035,51.42921151901826,1.985,20.544811248779297,1,2,Red BALs
6631,56364,867,135407.64+432350.7,208.5318391467656,43.39743570618736,2.15,20.346790313720703,1,2,Red BALs
8199,57428,971,135653.37+585917.5,209.22240485461595,58.988214895023944,1.976,19.62472915649414,0,2,Red BALs
6005,56090,14,140001.75+253506.8,210.0073327719518,25.585238782008187,1.982,19.904460906982422,1,2,Red BALs
4025,55350,832,143627.79+004655.7,219.11581112529825,0.7821483355960258,2.158,20.687929153442383,2,2,Red BALs
4018,55622,746,144924.85+030601.5,222.35354672223218,3.1004169128595462,2.117,20.063278198242188,1,2,Red BALs
6722,56431,606,153154.38+505836.1,232.97660892652476,50.97669787575409,2.153,20.129968643188477,0,2,Red BALs
4187,55693,438,163239.37+220141.8,248.16407653873503,22.028279229198596,1.946,18.841054916381836,2,2,Red BALs
9594,58135,934,084247.62+222316.2,130.69845527596019,22.38784146478045,1.9633266925811768,19.63961410522461,0,2,Red BALs
8414,57846,555,154219.05+533912.7,235.57939132649787,53.653554836471415,2.0776116847991943,19.163286209106445,0,2,Red BALs
2018,53800,153,130338.34+374953.1,195.909758,37.831434,2.028902,19.523635864257812,1,2,Red BALs
6177,56268,879,000424.39+150452.8,1.1016598036385403,15.081337356145353,2.245,20.460426330566406,1,2,Red BALs
6284,56310,998,004245.78+253613.4,10.690774413386293,25.603739276317054,2.172,19.775890350341797,1,2,Red BALs
7859,57282,179,011150.63+011730.9,17.9609827675676,1.2919379508251412,2.292,20.001821517944336,1,2,Red BALs
7682,57415,364,011836.59+242559.8,19.652478064629975,24.43330258623197,2.044217824935913,20.735057830810547,2,2,Red BALs
8762,57693,241,012618.32+030435.2,21.576354665924043,3.076463597437179,1.9644063711166382,20.481168746948242,1,2,Red BALs
11069,58456,341,012923.39+112534.1,22.34749262545273,11.426161374148194,2.45281720161438,20.554157257080078,2,2,Red BALs
4666,55832,422,012928.99+111744.8,22.370806025986496,11.295787122240728,2.197,20.608020782470703,1,2,Red BALs
5116,55857,732,013613.30+215649.4,24.055422334681793,21.94707242170819,2.333,20.760374069213867,2,2,Red BALs
3665,55247,520,073343.91+471154.9,113.43298783100387,47.19859207121444,1.979,20.714950561523438,1,2,Red BALs
3670,55480,270,074717.77+383112.7,116.8240732642816,38.52019947754234,2.41,20.493261337280273,2,2,Red BALs
3695,55212,50,083413.91+511214.6,128.55796923395857,51.204061178771255,2.39,19.836551666259766,1,2,Red BALs
3829,55300,702,100308.79+012316.5,150.78664947614493,1.3879358131609472,2.328,20.538429260253906,1,2,Red BALs
3847,55588,73,122912.63+000816.0,187.30265498408764,0.1377915639542391,2.316,20.157630920410156,2,2,Red BALs
3863,55280,72,142210.80+331124.3,215.54502465634172,33.1900866866059,2.021,20.49371910095215,2,2,Red BALs
3948,55331,552,153150.46+242317.7,232.960257782506,24.388266327385228,2.28,19.739023208618164,0,2,Red BALs
