PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
7865,56955,328,002048.12-032444.4,5.200525815456217,-3.4123538031217495,1.9333993196487427,20.256052017211914,2,2,SiIV Deficient
7906,57333,262,004808.29-042352.1,12.034579753257091,-4.397806308194498,2.041640043258667,19.410879135131836,2,2,SiIV Deficient
4224,55481,850,005531.07+000625.9,13.879499306170572,0.1071971991962504,2.015,20.2490234375,2,2,SiIV Deficient
7873,57307,142,010417.17-021538.5,16.071545660329264,-2.260713574762097,2.0318400859832764,18.866455078125,2,2,SiIV Deficient
4667,55868,994,011935.06+114551.5,19.89610331277015,11.764329931473721,2.164,20.502811431884766,2,2,SiIV Deficient
7690,57046,783,015331.02+265331.2,28.379256432326997,26.892024282867347,1.9556236267089844,19.194246292114258,2,2,SiIV Deficient
7238,56660,154,020811.94-055804.7,32.04975758402575,-5.967983829921519,1.952,20.35335350036621,2,2,SiIV Deficient
7834,56979,879,021345.14+002133.4,33.438113112179565,0.3592945775573488,1.955447793006897,21.047401428222656,2,2,SiIV Deficient
8306,57419,244,074103.18+443522.0,115.26328456149382,44.589449307513206,1.9993493556976318,21.401506423950195,2,2,SiIV Deficient
8292,57373,247,080756.35+403529.7,121.9848324891322,40.591588106307015,1.9220348596572876,21.004085540771484,2,2,SiIV Deficient
3695,55212,444,082346.31+502134.0,125.94296338355223,50.35946325871987,2.145,20.938865661621094,2,2,SiIV Deficient
4903,55927,390,083739.81+060123.4,129.41588935633283,6.023168976537707,2.107,19.376779556274414,2,2,SiIV Deficient
4851,55680,311,102624.89+062642.5,156.60373107641502,6.44514951713039,2.127,19.273454666137695,2,2,SiIV Deficient
4559,55597,364,102818.44+364753.6,157.0768676143568,36.79824977261589,2.095,20.012012481689453,2,2,SiIV Deficient
8366,57432,104,110436.37+404439.9,166.15157247766376,40.74444287713764,1.9942222833633423,20.283098220825195,2,2,SiIV Deficient
7101,56659,238,110622.80+555845.8,166.59504094699122,55.97940763227503,2.104,20.293752670288086,2,2,SiIV Deficient
7396,56809,860,112557.82+461621.8,171.49093599708345,46.272741571244204,1.933,19.526763916015625,2,2,SiIV Deficient
4705,55705,246,123025.32+414634.6,187.6055,41.776287,2.116,-9999.0,2,2,SiIV Deficient
7415,57097,760,124331.33+501913.1,190.88054695323902,50.32033058852876,2.13,20.56050682067871,2,2,SiIV Deficient
4045,55622,180,133141.27+011637.4,202.92196379584894,1.2770768768202445,2.163,19.108598709106445,2,2,SiIV Deficient
7431,57162,502,133602.99+483341.7,204.01246351805446,48.56160880601648,2.125720262527466,19.958097457885742,2,2,SiIV Deficient
3928,55331,86,161645.61+214553.9,244.19005114728935,21.76497553984053,2.113,19.839292526245117,2,2,SiIV Deficient
