PLATE,MJD,FIBERID,SDSS Name,RA,DEC,Z,r_mag,Cluster_ID,Group_ID,Anomaly_Type
7862,56984,145,000850.12+001204.7,2.2088366811255185,0.2013112278261012,2.1132652759552,20.614097595214844,2,0,Excess SiIV
3736,55214,432,010523.69-002538.8,16.3487313164773,-0.4274522894061556,2.156,18.90005874633789,2,0,Excess SiIV
3651,55247,863,024654.97+011402.6,41.72907753293862,1.2340826302281283,2.147,19.536718368530273,2,0,Excess SiIV
6457,56330,486,102835.79+262923.4,157.14915813987568,26.489835854785007,2.106,18.513120651245117,2,0,Excess SiIV
3778,55213,132,123803.04-024504.1,189.51269314347388,-2.7511450496591894,2.086,20.1336612701416,2,0,Excess SiIV
6620,56368,950,131712.34+431300.8,199.30143193221102,43.21691202788145,2.158,18.423381805419922,2,0,Excess SiIV
8232,58135,643,122610.93+582111.4,186.54554885146274,58.35318529169813,2.0465877056121826,19.643199920654297,2,0,Excess SiIV
461,51910,506,033324.83-061003.4,53.353471,-6.167632,2.149902,18.660438537597656,2,0,Excess SiIV
1214,52731,233,092653.25+373732.6,141.721881,37.625728,2.028968,17.96177101135254,2,0,Excess SiIV
2224,53815,195,115451.63+294650.1,178.715147,29.780586,2.080485,18.891939163208008,2,0,Excess SiIV
1381,53089,243,142432.46+370101.3,216.135257,37.017038,2.032492,18.730133056640625,2,0,Excess SiIV
789,52342,141,142518.77+581443.6,216.328233,58.245456,2.125947,17.794151306152344,2,0,Excess SiIV
366,52017,176,172806.77+582039.1,262.028209,58.344201,2.017591,19.130918502807617,2,0,Excess SiIV
741,52261,639,225921.59+140256.0,344.839967,14.048912,2.153391,18.016080856323242,2,0,Excess SiIV
7035,56568,392,000510.69-045727.6,1.2945720150541717,-4.957688293136093,2.456,18.870893478393555,2,0,Excess SiIV
4303,55508,286,003631.00+032610.7,9.129201958417354,3.4363198191001185,2.435,20.454814910888672,2,0,Excess SiIV
4275,55501,474,013608.96+020408.7,24.03733497900214,2.0690989809507503,2.383,18.68562889099121,2,0,Excess SiIV
3650,55244,768,024056.49+002912.4,40.23539528496136,0.48678755145763325,2.175,20.010034561157227,2,0,Excess SiIV
11115,58514,498,084028.72+240808.9,130.11967808310897,24.13581999753809,2.3846921920776367,19.826704025268555,2,0,Excess SiIV
3782,55244,298,094413.86-023000.1,146.0577662765616,-2.5000327696963334,2.207,18.83955955505371,2,0,Excess SiIV
3788,55246,228,111413.90-023122.6,168.55793668949087,-2.522951208256783,2.409,19.42920684814453,2,0,Excess SiIV
3774,55244,544,111701.71-010218.8,169.25715953799403,-1.0385631880766628,2.308,19.556997299194336,2,0,Excess SiIV
3776,55209,438,115436.06-020938.2,178.65027252126518,-2.160638717819209,2.4,20.37689781188965,2,0,Excess SiIV
3793,55214,342,124217.92-023356.4,190.5747073321934,-2.565677443984792,2.391,19.963422775268555,2,0,Excess SiIV
3793,55214,56,124738.90-023630.7,191.91209157068755,-2.608536143362393,2.253,20.472518920898438,2,0,Excess SiIV
3794,55241,30,125954.27-022153.9,194.9761251130157,-2.364986405077505,2.36,18.3524227142334,2,0,Excess SiIV
3924,55332,390,160515.85+192850.8,241.31605853588042,19.480791430182737,2.359,19.598203659057617,2,0,Excess SiIV
4532,55559,544,014506.74+092025.4,26.278086641164805,9.340408436516064,2.395,18.930055618286133,2,0,Excess SiIV
4271,55507,353,015753.35+021706.7,29.4723266331697,2.2852160317355508,2.447,18.745624542236328,2,0,Excess SiIV
9423,58100,523,020748.05+041752.5,31.95023060684281,4.297929324668121,2.314418077468872,20.33189582824707,2,0,Excess SiIV
307,51663,319,143452.74-002828.0,218.719756,-0.474471,2.25235,18.868684768676758,2,0,Excess SiIV
333,52313,187,121747.06-025003.9,184.446091,-2.834435,2.415942,18.84212875366211,2,0,Excess SiIV
367,51997,225,171951.77+550446.1,259.965725,55.079494,2.238871,19.349266052246094,2,0,Excess SiIV
412,52258,126,031028.87-005326.2,47.620308,-0.890612,2.45273,18.496580123901367,2,0,Excess SiIV
437,51869,199,075956.82+424030.8,119.986778,42.675247,2.307372,18.932575225830078,2,0,Excess SiIV
474,52000,477,092404.36-000707.8,141.018185,-0.118856,2.451522,18.998065948486328,2,0,Excess SiIV
510,52381,28,111824.40+021116.9,169.601673,2.188028,1.90249,18.592697143554688,2,0,Excess SiIV
512,51992,17,113132.65+012745.4,172.886082,1.462613,2.422337,19.316152572631836,2,0,Excess SiIV
513,51989,271,113254.46+015626.6,173.226939,1.940724,1.899886,19.21881866455078,2,0,Excess SiIV
582,52045,225,140351.79+041056.8,210.965792,4.182458,2.339884,18.489330291748047,2,0,Excess SiIV
608,52081,361,144147.69+605619.3,220.448738,60.938698,1.889039,17.835535049438477,2,0,Excess SiIV
638,52081,405,210922.80-060352.6,317.345016,-6.064615,2.294042,19.074796676635742,2,0,Excess SiIV
641,52199,168,213303.90-082222.8,323.266257,-8.373025,2.39304,19.141338348388672,2,0,Excess SiIV
645,52203,489,232018.35-091029.6,350.076491,-9.174905,2.466195,18.323646545410156,2,0,Excess SiIV
647,52553,165,233756.58-102000.2,354.485772,-10.333396,2.432491,18.955665588378906,2,0,Excess SiIV
647,52553,617,234100.91-085531.9,355.253815,-8.925545,2.197819,18.999874114990234,2,0,Excess SiIV
710,52203,51,031127.09-004927.7,47.862892,-0.824366,2.247879,19.668378829956055,2,0,Excess SiIV
725,52258,295,230011.73-102144.4,345.048915,-10.362348,2.30668,18.26752471923828,2,0,Excess SiIV
732,52221,476,214121.15+120005.4,325.338145,12.001503,2.205562,19.213571548461914,2,0,Excess SiIV
